address,latlng,name,phone,region
10 E/ 520 Y 521,,,,
12 Y 44,,,,
13 E/ 33 Y 34,,,,
13 Y 77,,,,
18 Y 41,,,,
38 Y 28,,,,
44 E/ 186 Y 187,,,,
49 Y 28,,,,
56 Y 15,,,,
60 Y 19 P. IRIG.,,,,
70 E/ 28 Y 29,,,,
120 E/ 72 Y 73,,,,
526 E/ 28 Y29,,,,
530 Y 115 BIS,,,,
DG. 80 Y 49,,,,
6 Y 66,,,,
7 E/ 80 Y 81,,,,
9 Y 45,,,,
13 E/ 525 Y 526,,,,
16 Y 50,,,,
18 Y 72,,,,
19 Y 56,,,,
38 Y 10,,,,
44 E/ 14 Y 15,,,,
44 Y 28,,,,
54 E/ 4 Y 5,,,,
55 Y 29,,,,
122 E/ 62 Y 63,,,,
520 e/210 y 211,,,,
528 BIS E/ 3 Y 4,,,,
DG. 73 Y 42 (21 Y 42),,,,
DG. 80 E/ 117 Y 118,,,,
1 Y 66 P. MAT.,,,,
1 Y DG. 80,,,,
5 E/ 34 Y 35,,,,
6 Y 59,,,,
7 E/ 73 Y 74,,,,
7 Y 512,,,,
13 E/ 40 Y 41,,,,
17 Y 63,,,,
19 Y 48,,,,
25 Y 68,,,,
38 E/ 133 Y 134,,,,
49 E/ 9 Y 10,,,,
50 E/ 26 Y 27,,,,
calle 80 E/ 116 Y 117,,,,
520 E/182 Y 182 BIS,,,,
530 E/ 19 Y 20,,,,
DG. 73 Y 24 (24 Y 39),,,,
2 E/ 35 Y 36,,,,
3 E/47 Y DG. 77,,,,
4 Y 57,,,,
4 Y 79,,,,
7 Y 58,,,,
7 E/ 516 Y 517,,,,
15 Y 35,,,,
15 Y 68,,,,
19 Y 44 P. AZC.,,,,
26 E/ 78 Y 79,,,,
28 E/ 66 Y 67,,,,
51 Y 10,,,,
58 E/ 30 Y 31,,,,
64 E/ 123 Y 124,,,,
68 E/ 3 Y 4,,,,
116 Y 37,,,,
131 Y 40,,,,
143 Y 49,,,,
520 E/ 157 Y 158,,,,
4 Y 48,,,,
7 Y 37,,,,
7 E/ 61 Y 62,,,,
8 E/ 54 Y 55,,,,
10 Y 511,,,,
11 E/ 33 Y 34,,,,
14 Y 66,,,,
16 E/ 528 Y 529,,,,
18 E/ 37 Y 38,,,,
23 E/ 71 Y 71BIS,,,,
32 Y 3 (532 Y 3),,,,
44 Y 21,,,,
44 Y 132,,,,
54 E/ 22 Y 23,,,,
60 E/ 30 Y 31,,,,
120 Y 76,,,,
DG. 74 E/ 118 Y 34,,,,
1 E/ 73 Y 74,,,,
